id,0,1,2,subgroup
0,-0.020050615,0.005114969,-0.013469651,1
1,-0.018655434,0.0036636852,-0.013714455,1
2,-0.023526713,0.005179312,-0.015653916,1
3,-0.015084147,0.0047392994,-0.011705697,1
4,0.0009790212,-0.02026349,0.004753493,1
6,-0.009444356,-0.01704042,-0.0009141341,1
7,-0.017177552,0.005194504,-0.012777016,1
8,-0.0205013,0.0051923133,-0.014026441,1
10,0.004615888,-0.022696156,0.0067220703,1
11,-0.0025508255,-0.029413786,0.0064910203,1
12,-0.0037472993,-0.028534058,0.0057506263,1
13,0.0059313923,-0.021978106,0.00851997,1
14,-0.0017021745,-0.02519476,0.004500352,1
15,-0.023571715,0.0019670986,-0.015299305,1
16,-0.011584461,-0.015457008,-0.0026066676,1
17,3.3915043e-05,-0.028412085,0.0074870586,1
19,0.0036839247,-0.027189467,0.007182665,1
21,-0.01730971,0.004606813,-0.0126485005,1
22,-0.0033517033,-0.028588798,0.005274631,1
23,-0.020766139,0.003975425,-0.013933703,1
25,-0.023409307,0.0038670637,-0.015522674,1
26,0.00097204745,-0.01593243,0.0035823733,1
27,-0.019823,0.0034428388,-0.014201663,1
28,-0.020993397,0.0052195266,-0.014230624,1
30,-0.0031629354,-0.025642406,0.004573174,1
31,-0.005562991,-0.019827913,0.0007734224,1
32,0.004325673,-0.024162475,0.008571245,1
33,-0.0038702637,-0.027193267,0.0041864067,1
34,-0.002306968,-0.027174052,0.0059397146,1
35,0.004239723,-0.023343045,0.007094994,1
36,0.0034418106,-0.021726806,0.005581565,1
37,0.004539728,-0.024371397,0.009535685,1
38,-0.0074625313,-0.02964839,0.004986912,1
40,-0.0031992942,-0.019013185,0.0023606867,1
41,-0.0014360249,-0.02471551,0.006498821,1
42,-6.733835e-05,-0.0069586746,0.0031961873,1
44,-0.019457936,0.0055837445,-0.012885742,1
45,-0.020887002,0.004157778,-0.01429788,1
46,0.0027914792,-0.025343496,0.008578204,1
48,-0.004772499,-0.028917272,0.00578171,1
49,-0.0072142184,-0.020317446,0.0013697892,1
50,0.0048140436,-0.023558263,0.007701248,1
51,-0.0072191954,-0.017858442,0.00028172135,1
53,-0.01772438,0.006508611,-0.013696529,1
54,-0.010784522,0.0055820383,-0.010634758,1
55,0.0045597255,-0.017268967,0.006578706,1
57,-0.0044012517,-0.02907322,0.005431846,1
58,0.002636522,-0.026732225,0.007504478,1
59,-0.004523456,-0.017535519,0.0012633577,1
63,0.0007798821,-0.020636987,0.004685916,1
64,-0.002948448,-0.025252353,0.0044493154,1
65,0.0029501617,-0.0235936,0.0074357316,1
66,-0.015887007,0.007241305,-0.011998966,1
68,-0.0012909174,-0.025464933,0.00589858,1
69,0.0037451535,-0.022960845,0.007354535,1
70,0.0021473318,-0.024828728,0.006090291,1
72,0.003438145,-0.014498975,0.0041280314,1
73,-0.0009429455,-0.011850785,0.0032346547,1
75,-0.019739524,0.008661531,-0.01555109,1
76,0.002576083,-0.024818849,0.0069558546,1
77,-0.020962536,0.007995632,-0.014085434,1
80,-0.021817937,0.0053849034,-0.013983093,1
81,0.00040081143,-0.026265483,0.0067774802,1
82,0.005701378,-0.025389489,0.007713616,1
83,-0.008652613,-0.014486726,-0.000354968,1
85,-0.021053806,0.003930941,-0.013252586,1
87,-0.015280262,0.00653011,-0.011375539,1
88,-8.845329e-05,-0.023010988,0.005506441,1
90,0.0034518242,-0.028562266,0.008417204,1
93,0.00586614,-0.02543353,0.009793036,1
94,-0.012306333,-0.018274266,-0.0015196577,1
95,0.0020124912,-0.029461708,0.008110099,1
97,-0.02279611,0.0064136013,-0.014588475,1
98,-0.01086396,-0.010945182,-0.0022660047,1
100,-0.017944679,0.0044575483,-0.013382375,1
101,-0.012083277,0.005955953,-0.0105016455,1
103,-0.0039640516,-0.029399943,0.0059054047,1
104,-0.019995198,0.0062679723,-0.014026664,1
105,-0.022017345,0.005326703,-0.016235769,1
106,-0.001740545,-0.026576925,0.0065704808,1
107,-0.0036403537,-0.026711162,0.005693458,1
109,-0.020693958,0.004210774,-0.0140554905,1
112,0.0014645904,-0.027864035,0.0077463686,1
113,-0.02080445,0.006828107,-0.014560625,1
114,-0.0026306063,-0.008716684,0.0010174811,1
115,-0.007887244,-0.022940952,0.0010897964,1
116,-0.005430281,-0.027941879,0.005250007,1
117,-0.00043919683,-0.013772022,0.0025971904,1
119,-1.1071563e-05,-0.024005238,0.0056859404,1
121,-0.004539028,-0.029469576,0.0060277134,1
123,0.0009339452,-0.026229348,0.00825613,1
125,-0.020546243,0.006576795,-0.015473656,1
126,4.3064356e-06,-0.019254532,0.0054025054,1
127,-0.020213678,0.005159918,-0.014671765,1
128,-0.001116544,-0.026528303,0.0058865324,1
130,-0.011044711,0.005061984,-0.009549879,1
132,0.0016565025,-0.024358708,0.005685337,1
133,-0.003932297,-0.02579936,0.005602151,1
134,-0.000101834536,-0.017462742,0.002941288,1
135,-0.0056599528,-0.028933574,0.004143372,1
136,-0.017649576,0.0046158247,-0.012630925,1
137,-0.0030353963,-0.023939785,0.004698366,1
138,-0.00013765693,-0.01619171,0.003909923,1
139,0.0016518533,-0.021736976,0.005020499,1
140,-0.025278956,0.004672695,-0.016387142,1
142,-0.02028662,0.0041241646,-0.013814837,1
143,0.00059239566,-0.019877385,0.0032756478,1
145,-0.01830469,0.0054859594,-0.012843199,1
146,-0.018589586,0.007344343,-0.013673022,1
147,-0.020492926,0.0033203326,-0.012496002,1
148,-0.0016211569,-0.026909921,0.006355889,1
150,-0.003913179,-0.028721925,0.006185189,1
153,-0.017288223,0.0051986054,-0.013641827,1
155,-0.018250152,0.0019594878,-0.013564497,1
156,-0.0037113428,-0.022305187,0.0023724586,1
157,-0.001690343,-0.022165675,0.004275836,1
160,0.0012205839,-0.025746677,0.0076755956,1
161,-0.021212652,0.0063779913,-0.014810815,1
162,0.0016124994,-0.023408826,0.004773453,1
163,-0.003216654,-0.034124088,0.0066313148,1
164,-0.018967941,0.002215024,-0.012758926,1
165,-0.019858286,0.0067426786,-0.0137960315,1
166,-0.018897668,0.0040082857,-0.013408892,1
167,-0.017561108,0.004823342,-0.011871323,1
168,-0.0064238906,-0.03250399,0.006162107,1
170,-0.002363503,-0.009538371,0.0023793876,1
