Method,Groups,Data var.,PP,Pp,PN,Pn,P?,pP,pp,pN,pn,p?,NP,Np,NN,Nn,N?,nP,np,nN,nn,n?,?P,?p,?N,?n
argva-base,WT-YNB-avt1-vac,none,73,0,0,0,0,0,208,0,0,0,0,0,212,0,0,0,0,0,227,0,0,0,0,0
argva-base,WT-YNB-aa-standard,none,111,0,0,0,0,0,175,0,0,0,0,0,201,0,0,0,0,0,203,0,0,0,0,0
argva-base,WT-YNB-S51A-YNB,str,76,0,0,0,0,0,259,0,0,0,0,0,122,0,0,0,0,0,278,0,0,0,0,0
argva-base,WT-YNB-WT-Tyr,str,64,0,0,0,0,0,260,0,0,0,0,0,143,0,0,0,0,0,311,0,0,0,0,0
argva-base,WT-YNB-S51A-Tyr,str,38,0,0,0,0,0,244,0,0,0,0,0,144,0,0,0,0,0,375,0,0,0,0,0
argva-base,WT-YNB-WT-total,str,93,0,0,0,0,0,195,0,0,0,0,0,208,0,0,0,0,0,195,0,0,0,0,0
argva-base,WT-YNB-WT-vac,str,113,0,0,0,0,0,183,0,0,0,0,0,194,0,0,0,0,0,214,0,0,0,0,0
argva-base,WT-YNB-avt1-total,str,80,0,0,0,0,0,202,0,0,0,0,0,208,0,0,0,0,0,242,0,0,0,0,0
argva-base,WT-YNB-avt1-vac,str,70,0,0,0,0,0,215,0,0,0,0,0,230,0,0,0,0,0,220,0,0,0,0,0
argva-base,WT-YNB-aa-standard,str,112,0,0,0,0,0,172,0,0,0,0,0,211,0,0,0,0,0,222,0,0,0,0,0
argva-base,WT-YNB-S51A-YNB,dyn,73,0,0,0,0,0,258,0,0,0,0,0,126,0,0,0,0,0,283,0,0,0,0,0
argva-base,WT-YNB-WT-Tyr,dyn,62,0,0,0,0,0,272,0,0,0,0,0,138,0,0,0,0,0,311,0,0,0,0,0
argva-base,WT-YNB-S51A-Tyr,dyn,46,0,0,0,0,0,241,0,0,0,0,0,146,0,0,0,0,0,374,0,0,0,0,0
argva-base,WT-YNB-WT-total,dyn,84,0,0,0,0,0,205,0,0,0,0,0,219,0,0,0,0,0,200,0,0,0,0,0
argva-base,WT-YNB-WT-vac,dyn,103,0,0,0,0,0,191,0,0,0,0,0,191,0,0,0,0,0,212,0,0,0,0,0
argva-base,WT-YNB-avt1-total,dyn,83,0,0,0,0,0,212,0,0,0,0,0,214,0,0,0,0,0,227,0,0,0,0,0
